day,url,role,expected_sha256,actual_sha256,hash_match,download_ok,parse_ok,rows,duplicate_timestamp_rows,timestamp_unit_source,first_open_utc,last_open_utc,full_day_5m_continuity,error
2021-02-23,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-02-23.zip,EVENT_DAY,f672fca35acce565062e7f353d4eb543aceb17c904dbf36d37dea46431bb6152,f672fca35acce565062e7f353d4eb543aceb17c904dbf36d37dea46431bb6152,True,True,True,288,0,milliseconds,2021-02-23T00:00:00+00:00,2021-02-23T23:55:00+00:00,True,
2021-02-24,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-02-24.zip,NEXT_DAY,,ba10f8c5f2ebe52af3f99b7076907a921b28c74e5818eca7aed93fe1868c2257,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-02-24T00:00:00+00:00,2021-02-24T23:55:00+00:00,True,
2021-02-25,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-02-25.zip,EVENT_DAY,89c295bd7bb9d5fa7dd08aeac124c8981c22fff163e2345fb6d9256f48ca3674,89c295bd7bb9d5fa7dd08aeac124c8981c22fff163e2345fb6d9256f48ca3674,True,True,True,288,0,milliseconds,2021-02-25T00:00:00+00:00,2021-02-25T23:55:00+00:00,True,
2021-02-26,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-02-26.zip,NEXT_DAY,,dd0d2629d887629f2decc74df118ceeea8ad7de57607f51c570c83e54a26988b,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-02-26T00:00:00+00:00,2021-02-26T23:55:00+00:00,True,
2021-03-05,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-03-05.zip,EVENT_DAY,78d726097f36155cb7eb869502e84ff136958d95afaedea7a66daf310c5762ed,78d726097f36155cb7eb869502e84ff136958d95afaedea7a66daf310c5762ed,True,True,True,288,0,milliseconds,2021-03-05T00:00:00+00:00,2021-03-05T23:55:00+00:00,True,
2021-03-06,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-03-06.zip,NEXT_DAY,,75c869e0729eb2c2a4cba1a163f5ed72cc6a57a508242ef07960e174820a66fb,NOT_PREDECLARED,True,True,270,0,milliseconds,2021-03-06T00:00:00+00:00,2021-03-06T23:55:00+00:00,False,
2021-03-13,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-03-13.zip,EVENT_DAY,f4b9d910ac7fa6438630b679cdce2f0fe17c6c5ada4a8cc3e661ad9d2bc261cf,f4b9d910ac7fa6438630b679cdce2f0fe17c6c5ada4a8cc3e661ad9d2bc261cf,True,True,True,288,0,milliseconds,2021-03-13T00:00:00+00:00,2021-03-13T23:55:00+00:00,True,
2021-03-14,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-03-14.zip,NEXT_DAY,,08dfa54f2481efdb3e94610edb1a90ea2f7fd9c88be5d0cf8f13d7f12668e005,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-03-14T00:00:00+00:00,2021-03-14T23:55:00+00:00,True,
2021-04-06,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-04-06.zip,EVENT_DAY,3b94375df599504c7586b45c20ad0cf5fba4cc36c65759b25e777c70539e5107,3b94375df599504c7586b45c20ad0cf5fba4cc36c65759b25e777c70539e5107,True,True,True,288,0,milliseconds,2021-04-06T00:00:00+00:00,2021-04-06T23:55:00+00:00,True,
2021-04-07,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-04-07.zip,NEXT_DAY,,31174e456f7d8005e27f49ad7ea18097bfcc2cf3ee8342d93461a373f5b26d88,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-04-07T00:00:00+00:00,2021-04-07T23:55:00+00:00,True,
2021-04-15,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-04-15.zip,EVENT_DAY,9f44bd96437630cf5a5f11b85ec77ef8043213ae0b7a91d98533138fbc42ffaf,9f44bd96437630cf5a5f11b85ec77ef8043213ae0b7a91d98533138fbc42ffaf,True,True,True,288,0,milliseconds,2021-04-15T00:00:00+00:00,2021-04-15T23:55:00+00:00,True,
2021-04-16,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-04-16.zip,NEXT_DAY,,409daa0a09670d40e5cc52304c2ca52f81284b49451bb92be8775a06322c27e0,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-04-16T00:00:00+00:00,2021-04-16T23:55:00+00:00,True,
2021-05-10,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-05-10.zip,EVENT_DAY,cb5666640792a2a54f66998218ac521879d938ae5fb24b99951ceac0addc9d1b,cb5666640792a2a54f66998218ac521879d938ae5fb24b99951ceac0addc9d1b,True,True,True,288,0,milliseconds,2021-05-10T00:00:00+00:00,2021-05-10T23:55:00+00:00,True,
2021-05-11,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-05-11.zip,NEXT_DAY,,a312dafdb2c22cc3220e67362f67d6844de81259f6e29f2b11c8792062598928,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-05-11T00:00:00+00:00,2021-05-11T23:55:00+00:00,True,
2021-05-14,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-05-14.zip,EVENT_DAY,4304c92427b5d18bc970caf2637b54ae2507629231fb260c6af828f986a5c287,4304c92427b5d18bc970caf2637b54ae2507629231fb260c6af828f986a5c287,True,True,True,288,0,milliseconds,2021-05-14T00:00:00+00:00,2021-05-14T23:55:00+00:00,True,
2021-05-15,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-05-15.zip,NEXT_DAY,,6ef5e7402537f65aaa30d1f721508b67816fa2b3976a05e654ae175fcd6be144,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-05-15T00:00:00+00:00,2021-05-15T23:55:00+00:00,True,
2021-06-17,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-06-17.zip,EVENT_DAY,cbd29aeb1d65e722d00b6b05b779e8f9d249c91e899272ddc5c49ba60311f2dc,cbd29aeb1d65e722d00b6b05b779e8f9d249c91e899272ddc5c49ba60311f2dc,True,True,True,288,0,milliseconds,2021-06-17T00:00:00+00:00,2021-06-17T23:55:00+00:00,True,
2021-06-18,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-06-18.zip,EVENT_DAY,04cabd8f051f4dec3ca4f59a86fde7fc4bc35770fd3440e32b64d602c276b82e,04cabd8f051f4dec3ca4f59a86fde7fc4bc35770fd3440e32b64d602c276b82e,True,True,True,288,0,milliseconds,2021-06-18T00:00:00+00:00,2021-06-18T23:55:00+00:00,True,
2021-06-19,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-06-19.zip,NEXT_DAY,,8b50b261c067ac91bff6697b38fafb6c71453f88be6ad8f3a0dba620a8b3f917,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-06-19T00:00:00+00:00,2021-06-19T23:55:00+00:00,True,
2021-07-10,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-07-10.zip,EVENT_DAY,9dd9df858c77786eb68a04c8b102bd379d66f74a3c27d0d66c9284c272ac6c8d,9dd9df858c77786eb68a04c8b102bd379d66f74a3c27d0d66c9284c272ac6c8d,True,True,True,288,0,milliseconds,2021-07-10T00:00:00+00:00,2021-07-10T23:55:00+00:00,True,
2021-07-11,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-07-11.zip,NEXT_DAY,,2c4dd9ef55142a6dded02a78d0d6001bf8360165174c16a683816da6d12fba03,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-07-11T00:00:00+00:00,2021-07-11T23:55:00+00:00,True,
2021-07-12,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-07-12.zip,EVENT_DAY,d87a3bcd8712e99950ea15525fc8b58dda896516e52b56fa38cb6e751f28f870,d87a3bcd8712e99950ea15525fc8b58dda896516e52b56fa38cb6e751f28f870,True,True,True,288,0,milliseconds,2021-07-12T00:00:00+00:00,2021-07-12T23:55:00+00:00,True,
2021-07-13,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-07-13.zip,EVENT_DAY,36b095de37060272514411f8ea87e0ac0c89ffc5be64677e05295b4cd47b6ba2,36b095de37060272514411f8ea87e0ac0c89ffc5be64677e05295b4cd47b6ba2,True,True,True,288,0,milliseconds,2021-07-13T00:00:00+00:00,2021-07-13T23:55:00+00:00,True,
2021-07-14,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-07-14.zip,NEXT_DAY,,c0f91662224f835e438921cd038f14c24a93c7213457a37b0cc982b1c1fbc55a,NOT_PREDECLARED,True,True,288,0,milliseconds,2021-07-14T00:00:00+00:00,2021-07-14T23:55:00+00:00,True,
2021-08-07,https://data.binance.vision/data/spot/daily/klines/BTCUSDT/5m/BTCUSDT-5m-2021-08-07.zip,EVENT_DAY,5dec70e9dd07f7da075e32bbd3c0fcf300f3124a1f2dfc0cbb89c6f85cdc763e,5dec70e9dd07f7da075e32bbd3c0fcf300f3124a1f2dfc0cbb89c6f85cdc763e,True,True,True,288,0,milliseconds,2021-08-07T00:00:00+00:00,2021-08-07T23:55:00+00:00,True,
